"Раздел","Название","Файл","Ссылка"
"СОСУДИСТАЯ НЕЙРОХИРУРГИЯ","Геморрагический инсульт","","https://e.kazangmu.ru/pluginfile.php/840954/mod_folder/content/0/%D0%A1%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D1%8F%20%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D1%8F/%D0%93%D0%B5%D0%BC%D0%BE%D1%80%D1%80%D0%B0%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B8%CC%86%20%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%20.pdf"
"СОСУДИСТАЯ НЕЙРОХИРУРГИЯ","Ишемический инсульт. Реперфузионная терапия: тромболизис, тромбоэкстракция","","https://e.kazangmu.ru/pluginfile.php/840954/mod_folder/content/0/%D0%A1%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D1%8F%20%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D1%8F/%D0%98%D1%88%D0%B5%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B8%CC%86%20%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82.%20%D0%A0%D0%B5%D0%BF%D0%B5%D1%80%D1%84%D1%83%D0%B7%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F%20%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B8%D1%8F%20-%20%D1%82%D1%80%D0%BE%D0%BC%D0%B1%D0%BE%D0%BB%D0%B8%D0%B7%D0%B8%D1%81%2C%20%D1%82%D1%80%D0%BE%D0%BC%D0%B1%D0%BE%D1%8D%D0%BA%D1%81%D1%82%D1%80%D0%B0%D0%BA%D1%86%D0%B8%D1%8F%20.pdf"
"СОСУДИСТАЯ НЕЙРОХИРУРГИЯ","Ишемический инсульт. Симптомы поражения сосудистых бассейнов","","https://e.kazangmu.ru/pluginfile.php/840954/mod_folder/content/0/%D0%A1%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D1%8F%20%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D1%85%D0%B8%D1%80%D1%83%D1%80%D0%B3%D0%B8%D1%8F/%D0%98%D1%88%D0%B5%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82.%20%D0%A1%D0%B8%D0%BC%D0%BF%D1%82%D0%BE%D0%BC%D1%8B%20%D0%BF%D0%BE%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D1%8B%D1%85%20%D0%B1%D0%B0%D1%81%D1%81%D0%B5%D0%B9%D0%BD%D0%BE%D0%B2.pdf"
