Раздел,Название,Описание,Лектор,YouTube,RuTube
"Сосудистая нейрохирургия","Современные принципы диагностики и лечения аневризм головного мозга","Лекция посвящена актуальным вопросам сосудистой нейрохирургии. Подробно разбираются: эпидемиология, этиология, клиническая картина, диагностика и тактика лечения аневризм.","К.м.н. Алексеев А.Г.","MdcOhC1WZXA","https://rutube.ru/play/embed/c357b167de81498cb08ccb58f976abec/?p=fwh3XRSy-DTmxWqIiQj58A"
"Сосудистая нейрохирургия","Хирургическое лечение нетравматических гематом головного мозга","Современные стандарты помощи при геморрагическом инсульте: диагностика, классификация гематом, принципы отбора больных, выбор метода операции и анализ результатов.","Проф. Данилов В.И.","di42KLpNzeA","https://rutube.ru/play/embed/e090f596d7db7113b6015b559d5c0b78/?p=AtOnEWGmb2cqWWzVhMl_yQ"
"Сосудистая нейрохирургия","Хирургическое лечение ишемической болезни головного мозга","Патофизиология ишемии и атеросклероза, современные методы диагностики (УЗИ, КТ-ангиография), критерии отбора пациентов, а также техника и показания к основным видам операций: каротидной эндартерэктомии, стентированию и наложению микроанастомозов.","К.м.н. Немировский А. М.","dbK-fYgFXjQ","https://rutube.ru/play/embed/ed8881760564a114911fd5556a934173/?p=aOO_1Z0IkvXQ2b1AtuxnGQ"
